city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1,36,1.0
city_40,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,5,47,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,0,83,0.0
city_115,Male,No relevent experience,no_enrollment,Graduate,Business Degree,0,50-99,Pvt Ltd,0,52,1.0
city_162,Male,Has relevent experience,no_enrollment,Masters,STEM,21,50-99,Funded Startup,4,8,0.0
city_176,Male,Has relevent experience,Part time course,Graduate,STEM,11,50-99,Pvt Ltd,1,24,1.0
city_160,Male,Has relevent experience,no_enrollment,High School,STEM,5,50-99,Funded Startup,1,24,0.0
city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1-9,Pvt Ltd,5,18,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000-11000,Pvt Ltd,5,123,0.0
city_21,Male,No relevent experience,Full time course,High School,STEM,2,50-99,Pvt Ltd,0,32,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0
city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,3,23,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,0,24,0.0
city_21,Male,No relevent experience,Full time course,High School,STEM,5,50-99,Pvt Ltd,0,26,0.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10-49,Pvt Ltd,5,18,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,0,106,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000-11000,Pvt Ltd,0,23,1.0
city_13,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,132,1.0
city_159,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0
city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,48,0.0
city_40,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0,1000-4999,Pvt Ltd,1,65,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0
city_67,Male,No relevent experience,no_enrollment,High School,STEM,4,50-99,Pvt Ltd,0,22,0.0
city_21,Male,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,50-99,Pvt Ltd,2,72,0.0
city_100,Male,Has relevent experience,no_enrollment,High School,STEM,11,1-9,Pvt Ltd,1,8,1.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,100-500,Pvt Ltd,3,40,0.0
city_103,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,5,141,0.0
city_103,Female,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,24,0.0
city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,100-500,Pvt Ltd,5,82,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10-49,Early Stage Startup,2,206,0.0
city_114,Male,No relevent experience,Part time course,High School,STEM,1,10000-11000,Other,1,152,0.0
city_114,Male,Has relevent experience,no_enrollment,Phd,STEM,21,100-500,Pvt Ltd,4,42,1.0
city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,4,50,0.0
city_71,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,0,106,0.0
city_114,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0
city_104,Male,Has relevent experience,no_enrollment,High School,STEM,4,10-49,Pvt Ltd,2,36,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0
city_64,Male,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,0,108,0.0
city_21,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0
city_21,Female,No relevent experience,Full time course,Masters,STEM,5,50-99,Pvt Ltd,0,26,1.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,0,87,1.0
city_103,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000-11000,Public Sector,4,52,1.0
city_101,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,50-99,Pvt Ltd,5,20,1.0
city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10-49,Pvt Ltd,1,21,0.0
city_101,Male,No relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,92,1.0
city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0
city_105,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000-11000,Pvt Ltd,5,26,0.0
city_104,Male,Has relevent experience,no_enrollment,Masters,STEM,3,1-9,Early Stage Startup,2,7,0.0
city_114,Male,No relevent experience,Full time course,High School,STEM,4,10000-11000,Pvt Ltd,1,43,0.0
city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,100-500,Pvt Ltd,1,45,0.0
city_73,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,2,19,0.0
city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,10-49,Funded Startup,1,32,1.0
city_162,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21,100-500,Pvt Ltd,5,26,1.0
